仓库信息,平均温度,粮情时间
11仓,5.172222137451172,2015-01-18
11仓,4.8125,2015-01-19
11仓,4.04027795791626,2015-01-20
11仓,4.044444561004639,2015-01-21
11仓,4.063889026641846,2015-01-22
11仓,4.456944465637207,2015-01-23
11仓,2.972222089767456,2015-03-01
11仓,2.987499952316284,2015-03-02
11仓,3.027777671813965,2015-03-03
11仓,3.0680553913116455,2015-03-04
11仓,3.086111068725586,2015-03-05
11仓,3.1152775287628174,2015-03-06
11仓,3.125,2015-03-07
11仓,3.1513888835906982,2015-03-08
11仓,3.1708333492279053,2015-03-09
11仓,3.165278196334839,2015-03-10
11仓,3.1861112117767334,2015-03-11
11仓,3.2083332538604736,2015-03-12
11仓,3.241666793823242,2015-03-13
11仓,3.2708332538604736,2015-03-14
11仓,3.3499996662139893,2015-03-16
11仓,3.398611068725586,2015-03-17
11仓,3.4777777194976807,2015-03-18
11仓,3.5166664123535156,2015-03-19
11仓,3.5722224712371826,2015-03-20
11仓,3.6194446086883545,2015-03-21
11仓,3.6777775287628174,2015-03-22
11仓,3.7250001430511475,2015-03-23
11仓,3.7666666507720947,2015-03-24
11仓,3.820833206176758,2015-03-25
11仓,3.890277862548828,2015-03-26
11仓,3.938889265060425,2015-03-27
11仓,3.9624998569488525,2015-03-29
11仓,4.02222204208374,2015-03-30
11仓,4.097221851348877,2015-03-31
11仓,4.244444370269775,2015-04-01
11仓,4.326388835906982,2015-04-02
11仓,4.401389122009277,2015-04-03
11仓,4.356944561004639,2015-04-04
11仓,4.481944561004639,2015-04-06
11仓,4.527778148651123,2015-04-07
11仓,4.598611354827881,2015-04-08
11仓,4.77222204208374,2015-04-09
11仓,4.818055629730225,2015-04-10
11仓,4.89027738571167,2015-04-11
11仓,4.923611164093018,2015-04-12
11仓,4.986111164093018,2015-04-13
11仓,5.037499904632568,2015-04-14
11仓,5.101388931274414,2015-04-15
11仓,5.043055534362793,2015-04-16
11仓,5.097221851348877,2015-04-17
11仓,5.283332824707031,2015-04-18
11仓,5.419444561004639,2015-04-20
11仓,5.372222423553467,2015-04-21
11仓,5.441666126251221,2015-04-22
11仓,5.508333206176758,2015-04-23
11仓,5.583333492279053,2015-04-24
11仓,5.674999713897705,2015-04-25
11仓,5.744444370269775,2015-04-26
11仓,5.850000381469727,2015-04-27
11仓,6.086111545562744,2015-04-28
11仓,6.045833587646484,2015-04-29
11仓,6.130555629730225,2015-04-30
11仓,6.233333587646484,2015-05-01
11仓,6.530555725097656,2015-05-04
11仓,6.626389026641846,2015-05-05
11仓,6.731944561004639,2015-05-06
11仓,6.969444751739502,2015-05-07
11仓,6.920833587646484,2015-05-08
11仓,7.024999618530273,2015-05-09
11仓,7.130555629730225,2015-05-10
11仓,7.418056011199951,2015-05-11
11仓,7.3222222328186035,2015-05-12
11仓,7.409721851348877,2015-05-13
