仓库信息,平均温度,粮情时间
10仓,4.858333587646484,2015-01-18
10仓,4.923611164093018,2015-01-19
10仓,4.837500095367432,2015-01-20
10仓,4.834722518920898,2015-01-21
10仓,4.834722518920898,2015-01-22
10仓,4.826388835906982,2015-01-23
10仓,4.781944274902344,2015-03-01
10仓,4.787499904632568,2015-03-02
10仓,4.797222137451172,2015-03-03
10仓,4.793055534362793,2015-03-04
10仓,4.80555534362793,2015-03-05
10仓,4.819444179534912,2015-03-06
10仓,4.820833206176758,2015-03-07
10仓,4.826388835906982,2015-03-08
10仓,4.824999809265137,2015-03-09
10仓,4.799999713897705,2015-03-10
10仓,4.813889026641846,2015-03-11
10仓,4.8125,2015-03-12
10仓,4.81944465637207,2015-03-13
10仓,4.818055629730225,2015-03-14
10仓,4.81944465637207,2015-03-16
10仓,4.843055248260498,2015-03-17
10仓,4.902777671813965,2015-03-18
10仓,4.912499904632568,2015-03-19
10仓,4.9277777671813965,2015-03-20
10仓,4.962500095367432,2015-03-21
10仓,4.976388931274414,2015-03-22
10仓,5.027777671813965,2015-03-23
10仓,5.054166793823242,2015-03-24
10仓,5.077777862548828,2015-03-25
10仓,5.127777576446533,2015-03-26
10仓,5.166666507720947,2015-03-27
10仓,5.1875,2015-03-29
10仓,5.241666793823242,2015-03-30
10仓,5.277778148651123,2015-03-31
10仓,5.329166889190674,2015-04-01
10仓,5.383333683013916,2015-04-02
10仓,5.424999713897705,2015-04-03
10仓,5.497222423553467,2015-04-04
10仓,5.573610782623291,2015-04-06
10仓,5.604166030883789,2015-04-07
10仓,10.92361068725586,2015-04-08
10仓,10.536110877990723,2015-04-09
10仓,10.648611068725586,2015-04-10
10仓,14.77500057220459,2015-04-11
10仓,12.933333396911621,2015-04-12
10仓,12.918055534362793,2015-04-13
10仓,12.019444465637207,2015-04-14
10仓,11.908332824707031,2015-04-15
10仓,13.861111640930176,2015-04-16
10仓,14.28888988494873,2015-04-17
10仓,14.959721565246582,2015-04-18
10仓,15.165276527404785,2015-04-20
10仓,14.252777099609375,2015-04-21
10仓,14.901389122009277,2015-04-22
10仓,16.79166603088379,2015-04-23
10仓,17.4152774810791,2015-04-24
10仓,18.072221755981445,2015-04-25
10仓,19.09861183166504,2015-04-26
10仓,19.038888931274414,2015-04-27
10仓,19.302778244018555,2015-04-28
10仓,19.184722900390625,2015-04-29
10仓,18.851388931274414,2015-04-30
10仓,18.955554962158203,2015-05-01
10仓,18.580556869506836,2015-05-04
10仓,18.434722900390625,2015-05-05
10仓,18.418054580688477,2015-05-06
10仓,18.627777099609375,2015-05-07
10仓,19.070833206176758,2015-05-08
10仓,19.176389694213867,2015-05-09
10仓,18.943056106567383,2015-05-10
10仓,18.89583396911621,2015-05-11
10仓,18.34027862548828,2015-05-12
10仓,18.289945602416992,2015-05-13
10仓,19.015275955200195,2015-05-14
10仓,20.115278244018555,2015-05-15
10仓,20.061111450195312,2015-05-16
10仓,19.981943130493164,2015-05-17
10仓,19.955554962158203,2015-05-18
10仓,20.0847225189209,2015-05-19
10仓,20.563888549804688,2015-05-20
10仓,20.751388549804688,2015-05-21
10仓,20.730554580688477,2015-05-22
10仓,20.56944465637207,2015-05-23
10仓,20.566667556762695,2015-05-24
10仓,20.740278244018555,2015-05-25
10仓,21.031944274902344,2015-05-26
10仓,21.162500381469727,2015-05-27
10仓,20.169443130493164,2015-05-29
10仓,20.059720993041992,2015-05-30
10仓,20.129167556762695,2015-05-31
10仓,20.433332443237305,2015-06-01
10仓,21.044443130493164,2015-06-02
10仓,21.16666603088379,2015-06-03
10仓,21.070833206176758,2015-06-04
10仓,24.4597225189209,2015-06-05
10仓,27.931943893432617,2015-06-06
10仓,26.690277099609375,2015-06-07
10仓,27.069442749023438,2015-06-08
10仓,26.15138816833496,2015-06-09
10仓,28.876388549804688,2015-06-15
10仓,28.58333396911621,2015-06-16
10仓,34.09722137451172,2015-06-17
10仓,33.61249923706055,2015-06-18
10仓,29.90972328186035,2015-06-19
10仓,26.929166793823242,2015-06-20
10仓,27.861112594604492,2015-06-21
10仓,27.65972328186035,2015-06-22
10仓,26.322221755981445,2015-06-23
10仓,26.19444465637207,2015-06-24
10仓,26.213890075683594,2015-06-25
10仓,26.269445419311523,2015-06-26
10仓,26.298608779907227,2015-06-27
10仓,26.3236083984375,2015-06-28
10仓,26.805557250976562,2015-06-29
10仓,27.673612594604492,2015-07-03
10仓,27.6361083984375,2015-07-04
10仓,28.33055305480957,2015-07-05
10仓,28.529165267944336,2015-07-06
10仓,28.362497329711914,2015-07-07
10仓,27.945833206176758,2015-07-08
10仓,27.29615592956543,2015-07-09
10仓,27.348609924316406,2015-07-10
10仓,27.34722137451172,2015-07-11
10仓,27.365278244018555,2015-07-12
10仓,27.39583396911621,2015-07-13
10仓,27.41666603088379,2015-07-14
10仓,27.41388702392578,2015-07-15
10仓,27.437498092651367,2015-07-16
10仓,27.43597412109375,2015-07-17
10仓,27.43572235107422,2015-07-18
10仓,27.442399978637695,2015-07-19
10仓,27.4777774810791,2015-07-20
10仓,27.484724044799805,2015-07-21
10仓,27.61250114440918,2015-07-22
10仓,27.568056106567383,2015-07-23
10仓,27.547224044799805,2015-07-24
10仓,27.531944274902344,2015-07-25
10仓,27.59722137451172,2015-07-26
10仓,26.1472225189209,2015-07-27
10仓,27.3527774810791,2015-07-28
10仓,27.488889694213867,2015-07-29
10仓,27.22222328186035,2015-07-30
10仓,27.105554580688477,2015-07-31
10仓,27.280555725097656,2015-08-01
10仓,27.579164505004883,2015-08-02
10仓,27.576387405395508,2015-08-03
10仓,27.579164505004883,2015-08-04
10仓,27.59027671813965,2015-08-05
10仓,27.61944580078125,2015-08-06
10仓,27.630556106567383,2015-08-07
10仓,27.637502670288086,2015-08-08
10仓,27.63472557067871,2015-08-09
10仓,27.6472225189209,2015-08-10
10仓,27.65833282470703,2015-08-11
10仓,27.662500381469727,2015-08-12
10仓,27.690277099609375,2015-08-13
10仓,27.705556869506836,2015-08-14
10仓,27.726388931274414,2015-08-15
10仓,27.741662979125977,2015-08-16
10仓,27.752777099609375,2015-08-17
10仓,27.77083396911621,2015-08-18
10仓,27.77083396911621,2015-08-19
10仓,27.80000114440918,2015-08-20
10仓,27.804166793823242,2015-08-21
10仓,27.829164505004883,2015-08-22
10仓,27.83888816833496,2015-08-23
10仓,27.8527774810791,2015-08-24
10仓,27.861108779907227,2015-08-25
10仓,27.883333206176758,2015-08-26
10仓,27.890275955200195,2015-08-27
10仓,27.898611068725586,2015-08-28
10仓,27.924997329711914,2015-08-29
10仓,27.938888549804688,2015-08-30
10仓,27.95277976989746,2015-08-31
10仓,27.948610305786133,2015-09-01
10仓,27.96388816833496,2015-09-02
10仓,27.97222137451172,2015-09-03
10仓,27.980554580688477,2015-09-04
10仓,27.97916603088379,2015-09-05
10仓,27.980554580688477,2015-09-06
10仓,27.988889694213867,2015-09-07
10仓,27.975000381469727,2015-09-08
10仓,27.995832443237305,2015-09-09
10仓,28.002777099609375,2015-09-10
10仓,28.011110305786133,2015-09-11
10仓,28.009719848632812,2015-09-12
10仓,28.00694465637207,2015-09-13
10仓,28.006942749023438,2015-09-14
10仓,28.02083396911621,2015-09-15
10仓,28.02638816833496,2015-09-16
10仓,28.02638816833496,2015-09-17
10仓,28.005556106567383,2015-09-18
10仓,28.03611183166504,2015-09-19
10仓,28.03472328186035,2015-09-21
10仓,28.026390075683594,2015-09-22
10仓,28.031946182250977,2015-09-23
10仓,28.0291690826416,2015-09-24
10仓,28.030555725097656,2015-09-25
10仓,28.052780151367188,2015-09-26
10仓,28.03611183166504,2015-09-27
10仓,28.03055763244629,2015-09-28
10仓,28.01249885559082,2015-09-29
10仓,28.04583168029785,2015-09-30
10仓,28.055557250976562,2015-10-01
10仓,28.045835494995117,2015-10-02
10仓,28.061111450195312,2015-10-03
10仓,28.063888549804688,2015-10-04
10仓,28.065279006958008,2015-10-05
10仓,28.08333396911621,2015-10-07
10仓,28.09444236755371,2015-10-08
10仓,28.08611297607422,2015-10-09
10仓,28.09305763244629,2015-10-10
10仓,28.105554580688477,2015-10-11
10仓,28.105554580688477,2015-10-12
10仓,28.10972023010254,2015-10-13
10仓,27.2722225189209,2015-10-14
10仓,26.091665267944336,2015-10-15
10仓,21.077777862548828,2015-10-17
10仓,20.219444274902344,2015-10-18
10仓,20.28333282470703,2015-10-19
10仓,21.36805534362793,2015-10-20
10仓,21.97222137451172,2015-10-21
10仓,21.984724044799805,2015-10-22
10仓,22.013891220092773,2015-10-23
10仓,22.037500381469727,2015-10-25
10仓,22.031944274902344,2015-10-26
10仓,22.026390075683594,2015-10-27
10仓,22.043054580688477,2015-10-28
10仓,22.037500381469727,2015-10-29
10仓,22.037500381469727,2015-10-30
10仓,22.037500381469727,2015-10-31
10仓,22.038888931274414,2015-11-01
10仓,22.03472328186035,2015-11-02
10仓,22.0402774810791,2015-11-03
10仓,22.03611183166504,2015-11-04
10仓,22.0222225189209,2015-11-05
10仓,22.019445419311523,2015-11-06
10仓,22.038888931274414,2015-11-07
10仓,22.015275955200195,2015-11-09
10仓,22.01249885559082,2015-11-10
10仓,22.0222225189209,2015-11-11
10仓,22.019445419311523,2015-11-12
10仓,21.991666793823242,2015-11-13
10仓,21.9777774810791,2015-11-14
10仓,21.986112594604492,2015-11-15
10仓,21.98750114440918,2015-11-16
10仓,21.97361183166504,2015-11-17
10仓,21.951387405395508,2015-11-18
10仓,21.947221755981445,2015-11-19
10仓,21.93194580078125,2015-11-20
10仓,21.929166793823242,2015-11-21
10仓,21.898611068725586,2015-11-22
10仓,21.90972137451172,2015-11-23
10仓,21.877779006958008,2015-11-24
10仓,21.836111068725586,2015-11-25
10仓,21.83333396911621,2015-11-26
10仓,21.76666831970215,2015-11-27
10仓,18.275001525878906,2015-11-28
10仓,10.07361125946045,2015-11-29
10仓,5.938889026641846,2015-11-30
10仓,5.904167175292969,2015-12-01
10仓,5.9902777671813965,2015-12-02
10仓,5.223611354827881,2015-12-03
10仓,5.372222423553467,2015-12-04
10仓,5.469444274902344,2015-12-06
10仓,5.516666889190674,2015-12-07
10仓,5.576388835906982,2015-12-08
10仓,5.605555057525635,2015-12-09
10仓,5.645833492279053,2015-12-10
10仓,5.691666126251221,2015-12-11
10仓,5.744445323944092,2015-12-12
10仓,5.794444561004639,2015-12-13
10仓,5.829166412353516,2015-12-14
10仓,5.859722137451172,2015-12-15
10仓,5.922222137451172,2015-12-16
10仓,5.941667079925537,2015-12-17
10仓,5.974999904632568,2015-12-18
10仓,6.037500381469727,2015-12-19
10仓,6.058332920074463,2015-12-20
10仓,6.120832920074463,2015-12-21
10仓,6.133333206176758,2015-12-22
10仓,6.173610687255859,2015-12-23
10仓,6.20972204208374,2015-12-24
10仓,6.227777481079102,2015-12-25
10仓,6.269443988800049,2015-12-26
10仓,6.3125,2015-12-27
10仓,6.318055629730225,2015-12-28
10仓,6.349999904632568,2015-12-29
10仓,6.3736114501953125,2015-12-30
10仓,6.3847222328186035,2015-12-31
10仓,6.402778148651123,2016-01-01
10仓,6.44444465637207,2016-01-02
10仓,6.452777862548828,2016-01-03
10仓,6.469444274902344,2016-01-04
10仓,6.49305534362793,2016-01-05
10仓,6.5097222328186035,2016-01-06
10仓,6.530555725097656,2016-01-07
10仓,6.55555534362793,2016-01-08
10仓,6.569444179534912,2016-01-09
10仓,6.573610782623291,2016-01-10
10仓,6.591665744781494,2016-01-11
10仓,6.590277194976807,2016-01-12
10仓,6.6236114501953125,2016-01-13
10仓,6.630555629730225,2016-01-14
10仓,6.644444942474365,2016-01-15
10仓,6.6583333015441895,2016-01-16
10仓,6.669444561004639,2016-01-17
10仓,6.683332920074463,2016-01-18
10仓,6.705555438995361,2016-01-19
10仓,6.711111068725586,2016-01-20
10仓,6.719444274902344,2016-01-21
10仓,6.7208333015441895,2016-01-22
10仓,6.7375006675720215,2016-01-23
10仓,6.726388931274414,2016-01-24
10仓,6.741666793823242,2016-01-25
10仓,6.751389026641846,2016-01-26
10仓,6.740278244018555,2016-01-27
10仓,6.7486114501953125,2016-01-28
10仓,6.741666316986084,2016-01-29
10仓,6.7430548667907715,2016-01-30
10仓,6.7513885498046875,2016-02-01
10仓,6.729166507720947,2016-02-03
10仓,6.731944561004639,2016-02-04
10仓,6.720832824707031,2016-02-05
10仓,6.705554962158203,2016-02-06
10仓,6.708333492279053,2016-02-07
10仓,6.6888885498046875,2016-02-08
10仓,6.63194465637207,2016-02-13
10仓,6.601388931274414,2016-02-14
10仓,6.5888895988464355,2016-02-15
10仓,6.579166412353516,2016-02-16
10仓,6.56944465637207,2016-02-17
10仓,6.548611164093018,2016-02-18
10仓,6.549999713897705,2016-02-19
10仓,6.525000095367432,2016-02-20
10仓,6.513889312744141,2016-02-21
10仓,6.519444942474365,2016-02-22
10仓,6.515277862548828,2016-02-23
10仓,6.502777576446533,2016-02-24
10仓,6.486111164093018,2016-02-25
10仓,6.480556011199951,2016-02-26
10仓,6.475000381469727,2016-02-28
10仓,6.480555057525635,2016-02-29
10仓,6.469444751739502,2016-03-01
10仓,6.451388835906982,2016-03-02
10仓,6.4361114501953125,2016-03-04
10仓,6.436110973358154,2016-03-05
10仓,6.436110973358154,2016-03-06
10仓,6.433333873748779,2016-03-07
10仓,6.452777862548828,2016-03-08
10仓,6.443055629730225,2016-03-09
10仓,6.456943988800049,2016-03-10
10仓,6.463888645172119,2016-03-11
10仓,6.456943988800049,2016-03-12
10仓,6.463888645172119,2016-03-13
10仓,6.486111164093018,2016-03-14
10仓,6.491666793823242,2016-03-15
10仓,6.5013885498046875,2016-03-16
10仓,6.508333206176758,2016-03-17
10仓,6.537499904632568,2016-03-18
10仓,6.530555248260498,2016-03-19
10仓,6.549999713897705,2016-03-20
10仓,6.565277576446533,2016-03-21
10仓,6.583333492279053,2016-03-22
10仓,11.492886543273926,2016-03-23
10仓,7.199466705322266,2016-03-24
10仓,9.336357116699219,2016-03-25
10仓,9.88155460357666,2016-03-26
10仓,10.135009765625,2016-03-27
10仓,10.464617729187012,2016-03-28
10仓,11.273457527160645,2016-03-29
10仓,12.39145565032959,2016-03-30
10仓,13.30431842803955,2016-03-31
10仓,14.053473472595215,2016-04-01
10仓,15.749305725097656,2016-04-02
10仓,15.080113410949707,2016-04-04
10仓,14.712567329406738,2016-04-05
10仓,14.432350158691406,2016-04-06
10仓,12.864498138427734,2016-04-07
10仓,14.464997291564941,2016-04-08
10仓,16.10600471496582,2016-04-09
10仓,16.659263610839844,2016-04-11
10仓,16.407148361206055,2016-04-12
10仓,17.001516342163086,2016-04-13
10仓,17.41564178466797,2016-04-14
10仓,17.95237159729004,2016-04-15
10仓,18.1042423248291,2016-04-16
10仓,17.698509216308594,2016-04-17
10仓,17.068876266479492,2016-04-18
10仓,16.97452735900879,2016-04-19
10仓,17.2395076751709,2016-04-20
10仓,17.173051834106445,2016-04-21
10仓,17.36481285095215,2016-04-22
10仓,17.981775283813477,2016-04-23
10仓,17.99693489074707,2016-04-24
10仓,17.85068702697754,2016-04-25
10仓,17.745012283325195,2016-04-26
10仓,17.2153377532959,2016-04-27
10仓,16.89995765686035,2016-04-28
10仓,17.72954750061035,2016-04-30
10仓,19.44794273376465,2016-05-02
10仓,19.67885398864746,2016-05-03
10仓,19.392953872680664,2016-05-04
10仓,19.798677444458008,2016-05-05
10仓,20.536821365356445,2016-05-06
10仓,29.511526107788086,2016-07-06
10仓,29.594022750854492,2016-07-07
10仓,29.30352210998535,2016-07-08
10仓,28.34729766845703,2016-07-09
