,province,city,year,month,day,average,max,min,rain
,江苏,淮安,2015,9,14,20.6,25.6,15.1,0
,江苏,淮安,2015,9,15,21.8,27.4,16.7,0.7
,江苏,淮安,2015,9,16,20.6,27.1,16,0
,江苏,淮安,2015,9,17,20.3,26.9,15.7,0
,江苏,淮安,2015,9,18,21.9,28.2,16.9,0
,江苏,淮安,2015,9,19,22.5,28.3,18.8,0
,江苏,淮安,2015,9,20,22,27.9,18.6,0
,江苏,淮安,2015,9,21,21.5,27.2,17.1,0
,江苏,淮安,2015,9,22,21.9,26,17.7,0.9
,江苏,淮安,2015,9,23,21.5,26.6,18.9,14.9
,江苏,淮安,2015,9,24,20.9,25.8,17.2,0
,江苏,淮安,2015,9,25,22.5,27.9,19.4,0
,江苏,淮安,2015,9,26,21.8,27.2,19,0
,江苏,淮安,2015,9,27,20.2,26.5,14.8,0
,江苏,淮安,2015,9,28,20,27.4,14.2,0
,江苏,淮安,2015,9,29,21.5,25.5,18.1,0
,江苏,淮安,2015,9,30,20.2,21.4,18.7,6.8
,江苏,淮安,2015,10,1,19.8,22.4,15.7,0.1
,江苏,淮安,2015,10,2,16.1,23.8,9.3,0
,江苏,淮安,2015,10,3,19.1,26.3,14.2,0
,江苏,淮安,2015,10,4,19,21.6,17,2
,江苏,淮安,2015,10,5,20.1,26.1,17.1,2.9
,江苏,淮安,2015,10,6,19.3,25.2,13.1,0
,江苏,淮安,2015,10,7,17,21.1,15.2,15
,江苏,淮安,2015,10,8,18.1,23,15.6,2.8
,江苏,淮安,2015,10,9,16.1,21.4,10.8,0
,江苏,淮安,2015,10,10,15.1,20.8,11.3,0
,江苏,淮安,2015,10,11,12.9,20.9,5.3,0
,江苏,淮安,2015,10,12,14.1,24.1,6.7,0
,江苏,淮安,2015,10,13,15.7,25.2,8.6,0
,江苏,淮安,2015,10,14,16.5,25.4,9.4,0
,江苏,淮安,2015,10,15,17.3,25.4,11.4,0
,江苏,淮安,2015,10,16,17.7,26.4,11.7,0
,江苏,淮安,2015,10,17,17.3,25.9,11.3,0
,江苏,淮安,2015,10,18,17.2,25.2,10.6,0
,江苏,淮安,2015,10,19,15.9,24,9.7,0
,江苏,淮安,2015,10,20,17,24.2,10.9,0
,江苏,淮安,2015,10,21,17.8,24.9,11.8,0
,江苏,淮安,2015,10,22,17.7,23.9,12,0
,江苏,淮安,2015,10,23,17.4,22.6,13.7,0
,江苏,淮安,2015,10,24,18.1,24.8,12.3,0
,江苏,淮安,2015,10,25,18.2,22.7,15.1,0
,江苏,淮安,2015,10,26,16.2,19,15,1.6
,江苏,淮安,2015,10,27,13.6,19.1,10.5,1.2
,江苏,淮安,2015,10,28,12.5,18.4,7.5,0
,江苏,淮安,2015,10,29,14.6,20,10.5,0
,江苏,淮安,2015,10,30,11.9,16.8,7.3,0
,江苏,淮安,2015,10,31,10.3,16.3,3.9,0
,江苏,淮安,2015,11,1,11.5,16.8,7.3,0
,江苏,淮安,2015,11,2,11,19.1,5.5,0
,江苏,淮安,2015,11,3,11.5,19.6,4.6,0
,江苏,淮安,2015,11,4,16.2,18.9,11.4,0.1
,江苏,淮安,2015,11,5,17.4,21,13.7,0
,江苏,淮安,2015,11,6,19.7,22.4,17.5,62.4
,江苏,淮安,2015,11,7,12.4,19.9,10.9,53.4
,江苏,淮安,2015,11,8,10.1,10.9,9.4,0.1
,江苏,淮安,2015,11,9,9.2,10.8,8.4,0
,江苏,淮安,2015,11,10,8.8,13.6,4.1,0
,江苏,淮安,2015,11,11,11.3,15.6,7.2,0
,江苏,淮安,2015,11,12,11,13.9,8,8.3
,江苏,淮安,2015,11,13,11.9,12.6,10.6,2.9
,江苏,淮安,2015,11,14,11.5,16,7.9,0
,江苏,淮安,2015,11,15,11.9,16,7.1,0
,江苏,淮安,2015,11,16,13,15.9,11.7,11.1
,江苏,淮安,2015,11,17,11.6,14.8,9,0
,江苏,淮安,2015,11,18,10.3,12.4,7.2,3
,江苏,淮安,2015,11,19,9.4,10.6,8.7,0
,江苏,淮安,2015,11,20,11.1,13,9.2,0
,江苏,淮安,2015,11,21,12.9,15.3,9.9,0
,江苏,淮安,2015,11,22,13.7,14.2,13.4,3.1
,江苏,淮安,2015,11,23,9.7,13.6,6.5,2.5
,江苏,淮安,2015,11,24,2,6.5,-0.4,26.6
,江苏,淮安,2015,11,25,-0.2,1,-1.1,1.7
,江苏,淮安,2015,11,26,-2.4,0.4,-3.9,0
,江苏,淮安,2015,11,27,-1.4,3.6,-6.6,0
,江苏,淮安,2015,11,28,4.1,11,-2.2,0
,江苏,淮安,2015,11,29,6.7,14.7,0.9,0
,江苏,淮安,2015,11,30,7.3,13,1.6,0
,江苏,淮安,2015,12,1,11.3,13,10.2,0
,江苏,淮安,2015,12,2,8.7,12.6,6.1,0
,江苏,淮安,2015,12,3,3.7,7.5,1.4,0
,江苏,淮安,2015,12,4,2.8,9.1,-2.5,0
,江苏,淮安,2015,12,5,2.9,6,-0.1,0
,江苏,淮安,2015,12,6,4.7,10.6,0.8,0
,江苏,淮安,2015,12,7,3.8,11.6,-1.1,0
,江苏,淮安,2015,12,8,5.9,12.2,-0.1,0
,江苏,淮安,2015,12,9,9.2,11.9,7,0
,江苏,淮安,2015,12,10,10,12.4,9,0.1
,江苏,淮安,2015,12,11,5.1,9.7,2.3,0
,江苏,淮安,2015,12,12,2.7,8.1,-1.5,0
,江苏,淮安,2015,12,13,3,7.9,-0.4,0
,江苏,淮安,2015,12,14,3.2,7.8,-0.3,0
,江苏,淮安,2015,12,15,3.5,9.8,-1.4,0
,江苏,淮安,2015,12,16,1.1,4.5,-2.8,0
,江苏,淮安,2015,12,17,-1,4.8,-4.2,0
,江苏,淮安,2015,12,18,-0.8,6.7,-5.7,0
,江苏,淮安,2015,12,19,1.4,6.6,-3.4,0
,江苏,淮安,2015,12,20,3.4,5.2,1.8,1.7
,江苏,淮安,2015,12,21,2.2,8.9,-2.7,0
,江苏,淮安,2015,12,22,5.9,7.6,1.7,1.8
,江苏,淮安,2015,12,23,7.5,8.8,6.4,1.1
,江苏,淮安,2015,12,24,6.1,8.3,3.2,2.3
,江苏,淮安,2015,12,25,3.9,8,-0.1,0
,江苏,淮安,2015,12,26,5.5,11.8,1.8,0
,江苏,淮安,2015,12,27,3.1,6.8,-0.2,0
,江苏,淮安,2015,12,28,0.7,5.7,-2.4,0
,江苏,淮安,2015,12,29,1.7,7.7,-2.7,0
,江苏,淮安,2015,12,30,2.8,7.9,-1,0
,江苏,淮安,2015,12,31,0.6,8.4,-4.4,0
,江苏,淮安,2016,1,1,4.4,10.3,-0.7,0
,江苏,淮安,2016,1,2,7.4,13.4,2.5,0
,江苏,淮安,2016,1,3,7.5,16.2,1.6,0
,江苏,淮安,2016,1,4,7.1,8.5,4.3,0
,江苏,淮安,2016,1,5,5.8,7.8,3.8,0.8
,江苏,淮安,2016,1,6,5.7,9.9,2.9,0
,江苏,淮安,2016,1,7,2.3,6.1,-0.6,0
,江苏,淮安,2016,1,8,-0.1,5.9,-3.6,0
,江苏,淮安,2016,1,9,1.3,8,-3,0
,江苏,淮安,2016,1,10,4,9.1,-0.7,0
,江苏,淮安,2016,1,11,1.9,6.1,-0.6,1.5
,江苏,淮安,2016,1,12,-1.2,1,-2.3,0.1
,江苏,淮安,2016,1,13,-1.4,3.4,-5,0
,江苏,淮安,2016,1,14,-0.9,5.4,-4.4,0
,江苏,淮安,2016,1,15,0,8.3,-5.5,0
,江苏,淮安,2016,1,16,3.8,10.4,-2.5,0
,江苏,淮安,2016,1,17,4.5,10.7,1.3,0
,江苏,淮安,2016,1,18,-2.1,1.3,-4.5,0
,江苏,淮安,2016,1,19,-2.6,2.8,-7.3,0
,江苏,淮安,2016,1,20,-0.9,2.4,-4.9,0
,江苏,淮安,2016,1,21,0.2,3,-1.6,0
,江苏,淮安,2016,1,22,-1.1,2.3,-4.1,1.9
,江苏,淮安,2016,1,23,-7.2,-1.1,-10,1.6
,江苏,淮安,2016,1,24,-9.7,-6.1,-13,0
,江苏,淮安,2016,1,25,-4.4,2.1,-9.3,0
,江苏,淮安,2016,1,26,-0.4,6.5,-5.5,0
