date,city,average,max,min,rain
2015-09-14,淮安,20.6,25.6,15.1,0.0
2015-09-15,淮安,21.8,27.4,16.7,0.7
2015-09-16,淮安,20.6,27.1,16.0,0.0
2015-09-17,淮安,20.3,26.9,15.7,0.0
2015-09-18,淮安,21.9,28.2,16.9,0.0
2015-09-19,淮安,22.5,28.3,18.8,0.0
2015-09-20,淮安,22.0,27.9,18.6,0.0
2015-09-21,淮安,21.5,27.2,17.1,0.0
2015-09-22,淮安,21.9,26.0,17.7,0.9
2015-09-23,淮安,21.5,26.6,18.9,14.9
2015-09-24,淮安,20.9,25.8,17.2,0.0
2015-09-25,淮安,22.5,27.9,19.4,0.0
2015-09-26,淮安,21.8,27.2,19.0,0.0
2015-09-27,淮安,20.2,26.5,14.8,0.0
2015-09-28,淮安,20.0,27.4,14.2,0.0
2015-09-29,淮安,21.5,25.5,18.1,0.0
2015-09-30,淮安,20.2,21.4,18.7,6.8
2015-10-01,淮安,19.8,22.4,15.7,0.1
2015-10-02,淮安,16.1,23.8,9.3,0.0
2015-10-03,淮安,19.1,26.3,14.2,0.0
2015-10-04,淮安,19.0,21.6,17.0,2.0
2015-10-05,淮安,20.1,26.1,17.1,2.9
2015-10-06,淮安,19.3,25.2,13.1,0.0
2015-10-07,淮安,17.0,21.1,15.2,15.0
2015-10-08,淮安,18.1,23.0,15.6,2.8
2015-10-09,淮安,16.1,21.4,10.8,0.0
2015-10-10,淮安,15.1,20.8,11.3,0.0
2015-10-11,淮安,12.9,20.9,5.3,0.0
2015-10-12,淮安,14.1,24.1,6.7,0.0
2015-10-13,淮安,15.7,25.2,8.6,0.0
2015-10-14,淮安,16.5,25.4,9.4,0.0
2015-10-15,淮安,17.3,25.4,11.4,0.0
2015-10-16,淮安,17.7,26.4,11.7,0.0
2015-10-17,淮安,17.3,25.9,11.3,0.0
2015-10-18,淮安,17.2,25.2,10.6,0.0
2015-10-19,淮安,15.9,24.0,9.7,0.0
2015-10-20,淮安,17.0,24.2,10.9,0.0
2015-10-21,淮安,17.8,24.9,11.8,0.0
2015-10-22,淮安,17.7,23.9,12.0,0.0
2015-10-23,淮安,17.4,22.6,13.7,0.0
2015-10-24,淮安,18.1,24.8,12.3,0.0
2015-10-25,淮安,18.2,22.7,15.1,0.0
2015-10-26,淮安,16.2,19.0,15.0,1.6
2015-10-27,淮安,13.6,19.1,10.5,1.2
2015-10-28,淮安,12.5,18.4,7.5,0.0
2015-10-29,淮安,14.6,20.0,10.5,0.0
2015-10-30,淮安,11.9,16.8,7.3,0.0
2015-10-31,淮安,10.3,16.3,3.9,0.0
2015-11-01,淮安,11.5,16.8,7.3,0.0
2015-11-02,淮安,11.0,19.1,5.5,0.0
2015-11-03,淮安,11.5,19.6,4.6,0.0
2015-11-04,淮安,16.2,18.9,11.4,0.1
2015-11-05,淮安,17.4,21.0,13.7,0.0
2015-11-06,淮安,19.7,22.4,17.5,62.4
2015-11-07,淮安,12.4,19.9,10.9,53.4
2015-11-08,淮安,10.1,10.9,9.4,0.1
2015-11-09,淮安,9.2,10.8,8.4,0.0
2015-11-10,淮安,8.8,13.6,4.1,0.0
2015-11-11,淮安,11.3,15.6,7.2,0.0
2015-11-12,淮安,11.0,13.9,8.0,8.3
2015-11-13,淮安,11.9,12.6,10.6,2.9
2015-11-14,淮安,11.5,16.0,7.9,0.0
2015-11-15,淮安,11.9,16.0,7.1,0.0
2015-11-16,淮安,13.0,15.9,11.7,11.1
2015-11-17,淮安,11.6,14.8,9.0,0.0
2015-11-18,淮安,10.3,12.4,7.2,3.0
2015-11-19,淮安,9.4,10.6,8.7,0.0
2015-11-20,淮安,11.1,13.0,9.2,0.0
2015-11-21,淮安,12.9,15.3,9.9,0.0
2015-11-22,淮安,13.7,14.2,13.4,3.1
2015-11-23,淮安,9.7,13.6,6.5,2.5
2015-11-24,淮安,2.0,6.5,-0.4,26.6
2015-11-25,淮安,-0.2,1.0,-1.1,1.7
2015-11-26,淮安,-2.4,0.4,-3.9,0.0
2015-11-27,淮安,-1.4,3.6,-6.6,0.0
2015-11-28,淮安,4.1,11.0,-2.2,0.0
2015-11-29,淮安,6.7,14.7,0.9,0.0
2015-11-30,淮安,7.3,13.0,1.6,0.0
2015-12-01,淮安,11.3,13.0,10.2,0.0
2015-12-02,淮安,8.7,12.6,6.1,0.0
2015-12-03,淮安,3.7,7.5,1.4,0.0
2015-12-04,淮安,2.8,9.1,-2.5,0.0
2015-12-05,淮安,2.9,6.0,-0.1,0.0
2015-12-06,淮安,4.7,10.6,0.8,0.0
2015-12-07,淮安,3.8,11.6,-1.1,0.0
2015-12-08,淮安,5.9,12.2,-0.1,0.0
2015-12-09,淮安,9.2,11.9,7.0,0.0
2015-12-10,淮安,10.0,12.4,9.0,0.1
2015-12-11,淮安,5.1,9.7,2.3,0.0
2015-12-12,淮安,2.7,8.1,-1.5,0.0
2015-12-13,淮安,3.0,7.9,-0.4,0.0
2015-12-14,淮安,3.2,7.8,-0.3,0.0
2015-12-15,淮安,3.5,9.8,-1.4,0.0
2015-12-16,淮安,1.1,4.5,-2.8,0.0
2015-12-17,淮安,-1.0,4.8,-4.2,0.0
2015-12-18,淮安,-0.8,6.7,-5.7,0.0
2015-12-19,淮安,1.4,6.6,-3.4,0.0
2015-12-20,淮安,3.4,5.2,1.8,1.7
2015-12-21,淮安,2.2,8.9,-2.7,0.0
2015-12-22,淮安,5.9,7.6,1.7,1.8
2015-12-23,淮安,7.5,8.8,6.4,1.1
2015-12-24,淮安,6.1,8.3,3.2,2.3
2015-12-25,淮安,3.9,8.0,-0.1,0.0
2015-12-26,淮安,5.5,11.8,1.8,0.0
2015-12-27,淮安,3.1,6.8,-0.2,0.0
2015-12-28,淮安,0.7,5.7,-2.4,0.0
2015-12-29,淮安,1.7,7.7,-2.7,0.0
2015-12-30,淮安,2.8,7.9,-1.0,0.0
2015-12-31,淮安,0.6,8.4,-4.4,0.0
2016-01-01,淮安,4.4,10.3,-0.7,0.0
2016-01-02,淮安,7.4,13.4,2.5,0.0
2016-01-03,淮安,7.5,16.2,1.6,0.0
2016-01-04,淮安,7.1,8.5,4.3,0.0
2016-01-05,淮安,5.8,7.8,3.8,0.8
2016-01-06,淮安,5.7,9.9,2.9,0.0
2016-01-07,淮安,2.3,6.1,-0.6,0.0
2016-01-08,淮安,-0.1,5.9,-3.6,0.0
2016-01-09,淮安,1.3,8.0,-3.0,0.0
2016-01-10,淮安,4.0,9.1,-0.7,0.0
2016-01-11,淮安,1.9,6.1,-0.6,1.5
2016-01-12,淮安,-1.2,1.0,-2.3,0.1
2016-01-13,淮安,-1.4,3.4,-5.0,0.0
2016-01-14,淮安,-0.9,5.4,-4.4,0.0
2016-01-15,淮安,0.0,8.3,-5.5,0.0
2016-01-16,淮安,3.8,10.4,-2.5,0.0
2016-01-17,淮安,4.5,10.7,1.3,0.0
2016-01-18,淮安,-2.1,1.3,-4.5,0.0
2016-01-19,淮安,-2.6,2.8,-7.3,0.0
2016-01-20,淮安,-0.9,2.4,-4.9,0.0
2016-01-21,淮安,0.2,3.0,-1.6,0.0
2016-01-22,淮安,-1.1,2.3,-4.1,1.9
2016-01-23,淮安,-7.2,-1.1,-10.0,1.6
2016-01-24,淮安,-9.7,-6.1,-13.0,0.0
2016-01-25,淮安,-4.4,2.1,-9.3,0.0
2016-01-26,淮安,-0.4,6.5,-5.5,0.0
2016-01-27,淮安,2.0,10.0,-3.6,0.0
2016-01-28,淮安,3.1,5.4,1.2,0.3
2016-01-29,淮安,2.8,4.4,1.3,1.7
2016-01-30,淮安,-0.1,2.9,-2.8,0.0
2016-01-31,淮安,-2.2,0.3,-3.2,0.6
2016-02-01,淮安,-2.9,2.0,-6.8,0.0
2016-02-02,淮安,-0.7,5.4,-5.0,0.0
2016-02-03,淮安,-0.1,7.5,-4.9,0.0
2016-02-04,淮安,1.4,8.9,-3.6,0.0
2016-02-05,淮安,1.3,8.5,-3.4,0.0
2016-02-06,淮安,0.2,6.7,-5.4,0.0
2016-02-07,淮安,2.1,9.3,-4.0,0.0
