date,0_days_air,10_days_air,10_days_grain,1_days_air,2_days_air,3_days_air,4_days_air,5_days_air,6_days_air,7_days_air,8_days_air,9_days_air,air_average,grain_average
2015-09-20,22.5,21.28,21.65,21.9,20.3,20.6,21.8,20.6,21.28,21.28,21.28,21.28,22.0,15.731343269348145
2015-09-21,22.0,21.39,21.53,22.5,21.9,20.3,20.6,21.8,20.6,21.39,21.39,21.39,21.5,18.18523979187012
2015-09-22,21.5,21.4,21.85,22.0,22.5,21.9,20.3,20.6,21.8,20.6,21.4,21.4,21.9,19.99235343933105
2015-09-23,21.9,21.46,22.16,21.5,22.0,22.5,21.9,20.3,20.6,21.8,20.6,21.46,21.5,20.283103942871094
2015-09-24,21.5,21.46,22.01,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,20.6,20.9,20.430784225463867
2015-09-25,20.9,20.6,15.9,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,22.5,20.66188240051269
2015-09-26,22.5,21.8,12.99,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,20.77253532409668
2015-09-27,21.8,20.6,13.19,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.2,20.928184509277344
2015-09-28,20.2,20.3,15.4,21.8,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.0,21.129690170288086
2015-09-29,20.0,21.9,15.59,20.2,21.8,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.5,21.235280990600586
2015-09-30,21.5,22.5,15.73,20.0,20.2,21.8,22.5,20.9,21.5,21.9,21.5,22.0,20.2,21.36466789245605
2015-10-02,19.8,21.5,19.99,20.2,21.5,20.0,20.2,21.8,22.5,20.9,21.5,21.9,16.1,21.67354393005371
2015-10-03,16.1,21.9,20.28,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.9,21.5,19.1,21.812278747558594
2015-10-04,19.1,21.5,20.43,16.1,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.9,19.0,21.9864501953125
2015-10-07,19.3,21.8,20.93,20.1,19.0,19.1,16.1,19.8,20.2,21.5,20.0,20.2,17.0,22.57089233398437
2015-10-08,17.0,20.2,21.13,19.3,20.1,19.0,19.1,16.1,19.8,20.2,21.5,20.0,18.1,22.74615478515625
2015-10-09,18.1,20.0,21.24,17.0,19.3,20.1,19.0,19.1,16.1,19.8,20.2,21.5,16.1,23.947866439819336
2015-10-10,16.1,21.5,21.36,18.1,17.0,19.3,20.1,19.0,19.1,16.1,19.8,20.2,15.1,22.86543846130371
2015-10-12,12.9,19.8,21.67,15.1,16.1,18.1,17.0,19.3,20.1,19.0,19.1,16.1,14.1,17.55157470703125
2015-10-13,14.1,16.1,21.81,12.9,15.1,16.1,18.1,17.0,19.3,20.1,19.0,19.1,15.7,15.661602020263672
2015-10-14,15.7,19.1,21.99,14.1,12.9,15.1,16.1,18.1,17.0,19.3,20.1,19.0,16.5,15.42965030670166
2015-10-17,17.7,19.3,22.57,17.3,16.5,15.7,14.1,12.9,15.1,16.1,18.1,17.0,17.3,15.639930725097654
2015-10-18,17.3,17.0,22.75,17.7,17.3,16.5,15.7,14.1,12.9,15.1,16.1,18.1,17.2,15.728886604309082
2015-10-19,17.2,18.1,23.95,17.3,17.7,17.3,16.5,15.7,14.1,12.9,15.1,16.1,15.9,15.801989555358887
2015-10-20,15.9,16.1,22.87,17.2,17.3,17.7,17.3,16.5,15.7,14.1,12.9,15.1,17.0,15.911407470703125
2015-10-21,17.0,15.1,19.88,15.9,17.2,17.3,17.7,17.3,16.5,15.7,14.1,12.9,17.8,15.962035179138185
