date,0_days_air,10_days_air,10_days_grain,11_days_air,11_days_grain,1_days_air,2_days_air,3_days_air,4_days_air,5_days_air,6_days_air,7_days_air,7_days_grain,8_days_air,8_days_grain,9_days_air,9_days_grain,air_average,grain_average
2015-09-20,22.5,21.28,24.96,21.28,24.94,21.9,20.3,20.6,21.8,20.6,21.28,21.28,23.99,21.28,24.54,21.28,25.01,22.0,24.25445556640625
2015-09-21,22.0,21.39,25.01,21.39,24.96,22.5,21.9,20.3,20.6,21.8,20.6,21.39,23.79,21.39,23.99,21.39,24.54,21.5,24.33367919921875
2015-09-22,21.5,21.4,24.54,21.4,25.01,22.0,22.5,21.9,20.3,20.6,21.8,20.6,23.79,21.4,23.79,21.4,23.99,21.9,24.26058959960937
2015-09-23,21.9,21.46,23.99,21.46,24.54,21.5,22.0,22.5,21.9,20.3,20.6,21.8,23.96,20.6,23.79,21.46,23.79,21.5,24.16927146911621
2015-09-24,21.5,21.46,23.79,21.46,23.99,21.9,21.5,22.0,22.5,21.9,20.3,20.6,24.01,21.8,23.96,20.6,23.79,20.9,24.06979179382324
2015-09-25,20.9,20.6,23.79,21.41,23.79,21.5,21.9,21.5,22.0,22.5,21.9,20.3,23.9,20.6,24.01,21.8,23.96,22.5,23.99623680114746
2015-09-26,22.5,21.8,23.96,20.6,23.79,20.9,21.5,21.9,21.5,22.0,22.5,21.9,23.98,20.3,23.9,20.6,24.01,21.8,24.13900184631348
2015-09-27,21.8,20.6,24.01,21.8,23.96,22.5,20.9,21.5,21.9,21.5,22.0,22.5,24.25,21.9,23.98,20.3,23.9,20.2,24.13715171813965
2015-09-28,20.2,20.3,23.9,20.6,24.01,21.8,22.5,20.9,21.5,21.9,21.5,22.0,24.33,22.5,24.25,21.9,23.98,20.0,24.04392433166504
2015-09-29,20.0,21.9,23.98,20.3,23.9,20.2,21.8,22.5,20.9,21.5,21.9,21.5,24.26,22.0,24.33,22.5,24.25,21.5,23.9151611328125
2015-09-30,21.5,22.5,24.25,21.9,23.98,20.0,20.2,21.8,22.5,20.9,21.5,21.9,24.17,21.5,24.26,22.0,24.33,20.2,23.59490966796875
2015-10-01,20.2,22.0,24.33,22.5,24.25,21.5,20.0,20.2,21.8,22.5,20.9,21.5,24.07,21.9,24.17,21.5,24.26,19.8,23.12754821777344
2015-10-02,19.8,21.5,24.26,22.0,24.33,20.2,21.5,20.0,20.2,21.8,22.5,20.9,24.0,21.5,24.07,21.9,24.17,16.1,22.78426170349121
2015-10-03,16.1,21.9,24.17,21.5,24.26,19.8,20.2,21.5,20.0,20.2,21.8,22.5,24.14,20.9,24.0,21.5,24.07,19.1,22.62598419189453
2015-10-04,19.1,21.5,24.07,21.9,24.17,16.1,19.8,20.2,21.5,20.0,20.2,21.8,24.14,22.5,24.14,20.9,24.0,19.0,22.63669013977051
2015-10-05,19.0,20.9,24.0,21.5,24.07,19.1,16.1,19.8,20.2,21.5,20.0,20.2,24.04,21.8,24.14,22.5,24.14,20.1,22.37042808532715
2015-10-07,19.3,21.8,24.14,22.5,24.14,20.1,19.0,19.1,16.1,19.8,20.2,21.5,23.59,20.0,23.92,20.2,24.04,17.0,22.49241828918457
2015-10-08,17.0,20.2,24.04,21.8,24.14,19.3,20.1,19.0,19.1,16.1,19.8,20.2,23.13,21.5,23.59,20.0,23.92,18.1,21.73807716369629
2015-10-09,18.1,20.0,23.92,20.2,24.04,17.0,19.3,20.1,19.0,19.1,16.1,19.8,22.78,20.2,23.13,21.5,23.59,16.1,21.252084732055664
2015-10-10,16.1,21.5,23.59,20.0,23.92,18.1,17.0,19.3,20.1,19.0,19.1,16.1,22.63,19.8,22.78,20.2,23.13,15.1,21.19647026062012
2015-10-11,15.1,20.2,23.13,21.5,23.59,16.1,18.1,17.0,19.3,20.1,19.0,19.1,22.64,16.1,22.63,19.8,22.78,12.9,20.97158432006836
2015-10-12,12.9,19.8,22.78,20.2,23.13,15.1,16.1,18.1,17.0,19.3,20.1,19.0,22.37,19.1,22.64,16.1,22.63,14.1,20.725000381469727
2015-10-13,14.1,16.1,22.63,19.8,22.78,12.9,15.1,16.1,18.1,17.0,19.3,20.1,22.6,19.0,22.37,19.1,22.64,15.7,20.67366981506348
2015-10-14,15.7,19.1,22.64,16.1,22.63,14.1,12.9,15.1,16.1,18.1,17.0,19.3,22.49,20.1,22.53,19.0,22.37,16.5,20.72916603088379
