date,0_days_air,10_days_air,10_days_grain,11_days_air,11_days_grain,1_days_air,2_days_air,3_days_air,4_days_air,5_days_air,6_days_air,7_days_air,7_days_grain,8_days_air,8_days_grain,9_days_air,9_days_grain,air_average,grain_average
2015-09-20,22.5,21.28,24.55,21.28,24.45,21.9,20.3,20.6,21.8,20.6,21.28,21.28,23.85,21.28,24.3,21.28,24.55,22.0,24.0
2015-09-21,22.0,21.39,24.55,21.39,24.55,22.5,21.9,20.3,20.6,21.8,20.6,21.39,23.45,21.39,23.85,21.39,24.3,21.5,24.04999923706055
2015-09-22,21.5,21.4,24.3,21.4,24.55,22.0,22.5,21.9,20.3,20.6,21.8,20.6,23.45,21.4,23.45,21.4,23.85,21.9,24.04999923706055
2015-09-23,21.9,21.46,23.85,21.46,24.3,21.5,22.0,22.5,21.9,20.3,20.6,21.8,23.55,20.6,23.45,21.46,23.45,21.5,23.899999618530273
2015-09-24,21.5,21.46,23.45,21.46,23.85,21.9,21.5,22.0,22.5,21.9,20.3,20.6,23.7,21.8,23.55,20.6,23.45,20.9,23.84999847412109
2015-09-25,20.9,20.6,23.45,21.41,23.45,21.5,21.9,21.5,22.0,22.5,21.9,20.3,23.55,20.6,23.7,21.8,23.55,22.5,23.70000076293945
2015-09-26,22.5,21.8,23.55,20.6,23.45,20.9,21.5,21.9,21.5,22.0,22.5,21.9,23.7,20.3,23.55,20.6,23.7,21.8,23.95000076293945
2015-09-27,21.8,20.6,23.7,21.8,23.55,22.5,20.9,21.5,21.9,21.5,22.0,22.5,24.0,21.9,23.7,20.3,23.55,20.2,23.95000076293945
2015-09-28,20.2,20.3,23.55,20.6,23.7,21.8,22.5,20.9,21.5,21.9,21.5,22.0,24.05,22.5,24.0,21.9,23.7,20.0,23.84999847412109
2015-09-29,20.0,21.9,23.7,20.3,23.55,20.2,21.8,22.5,20.9,21.5,21.9,21.5,24.05,22.0,24.05,22.5,24.0,21.5,23.54999923706055
2015-09-30,21.5,22.5,24.0,21.9,23.7,20.0,20.2,21.8,22.5,20.9,21.5,21.9,23.9,21.5,24.05,22.0,24.05,20.2,23.29999923706055
2015-10-01,20.2,22.0,24.05,22.5,24.0,21.5,20.0,20.2,21.8,22.5,20.9,21.5,23.85,21.9,23.9,21.5,24.05,19.8,22.95000076293945
2015-10-02,19.8,21.5,24.05,22.0,24.05,20.2,21.5,20.0,20.2,21.8,22.5,20.9,23.7,21.5,23.85,21.9,23.9,16.1,22.54999923706055
2015-10-03,16.1,21.9,23.9,21.5,24.05,19.8,20.2,21.5,20.0,20.2,21.8,22.5,23.95,20.9,23.7,21.5,23.85,19.1,22.450000762939453
2015-10-04,19.1,21.5,23.85,21.9,23.9,16.1,19.8,20.2,21.5,20.0,20.2,21.8,23.95,22.5,23.95,20.9,23.7,19.0,22.54999923706055
2015-10-05,19.0,20.9,23.7,21.5,23.85,19.1,16.1,19.8,20.2,21.5,20.0,20.2,23.85,21.8,23.95,22.5,23.95,20.1,22.299999237060547
2015-10-07,19.3,21.8,23.95,22.5,23.95,20.1,19.0,19.1,16.1,19.8,20.2,21.5,23.3,20.0,23.55,20.2,23.85,17.0,22.299999237060547
2015-10-08,17.0,20.2,23.85,21.8,23.95,19.3,20.1,19.0,19.1,16.1,19.8,20.2,22.95,21.5,23.3,20.0,23.55,18.1,21.549999237060547
2015-10-09,18.1,20.0,23.55,20.2,23.85,17.0,19.3,20.1,19.0,19.1,16.1,19.8,22.55,20.2,22.95,21.5,23.3,16.1,21.049999237060547
2015-10-10,16.1,21.5,23.3,20.0,23.55,18.1,17.0,19.3,20.1,19.0,19.1,16.1,22.45,19.8,22.55,20.2,22.95,15.1,21.049999237060547
2015-10-11,15.1,20.2,22.95,21.5,23.3,16.1,18.1,17.0,19.3,20.1,19.0,19.1,22.55,16.1,22.45,19.8,22.55,12.9,20.849998474121094
2015-10-12,12.9,19.8,22.55,20.2,22.95,15.1,16.1,18.1,17.0,19.3,20.1,19.0,22.3,19.1,22.55,16.1,22.45,14.1,20.549999237060547
2015-10-13,14.1,16.1,22.45,19.8,22.55,12.9,15.1,16.1,18.1,17.0,19.3,20.1,22.46,19.0,22.3,19.1,22.55,15.7,20.549999237060547
2015-10-14,15.7,19.1,22.55,16.1,22.45,14.1,12.9,15.1,16.1,18.1,17.0,19.3,22.3,20.1,22.4,19.0,22.3,16.5,20.700000762939453
2015-10-15,16.5,19.0,22.3,19.1,22.55,15.7,14.1,12.9,15.1,16.1,18.1,17.0,21.55,19.3,22.3,20.1,22.18,17.3,20.700000762939453
2015-10-17,17.7,19.3,22.3,20.1,21.49,17.3,16.5,15.7,14.1,12.9,15.1,16.1,21.05,18.1,21.05,17.0,21.55,17.3,21.100000381469727
2015-10-18,17.3,17.0,21.55,19.3,22.3,17.7,17.3,16.5,15.7,14.1,12.9,15.1,20.85,16.1,21.05,18.1,21.05,17.2,21.200000762939453
2015-10-19,17.2,18.1,21.05,17.0,21.55,17.3,17.7,17.3,16.5,15.7,14.1,12.9,20.55,15.1,20.85,16.1,21.05,15.9,21.150001525878906
2015-10-20,15.9,16.1,21.05,18.1,21.05,17.2,17.3,17.7,17.3,16.5,15.7,14.1,20.55,12.9,20.55,15.1,20.85,17.0,21.100000381469727
2015-10-21,17.0,15.1,20.85,16.1,21.05,15.9,17.2,17.3,17.7,17.3,16.5,15.7,20.7,14.1,20.55,12.9,20.55,17.8,21.100000381469727
2015-10-22,17.8,12.9,20.55,15.1,20.85,17.0,15.9,17.2,17.3,17.7,17.3,16.5,20.7,15.7,20.7,14.1,20.55,17.7,21.150001525878906
2015-10-23,17.7,14.1,20.55,12.9,20.55,17.8,17.0,15.9,17.2,17.3,17.7,17.3,20.62,16.5,20.7,15.7,20.7,17.4,21.049999237060547
2015-10-25,18.1,16.5,20.7,15.7,20.7,17.4,17.7,17.8,17.0,15.9,17.2,17.3,21.2,17.7,21.1,17.3,20.92,18.2,20.950000762939453
2015-10-26,18.2,17.3,21.04,16.5,20.7,18.1,17.4,17.7,17.8,17.0,15.9,17.2,21.15,17.3,21.2,17.7,21.1,16.2,20.849998474121094
2015-10-27,16.2,17.7,21.1,17.3,21.14,18.2,18.1,17.4,17.7,17.8,17.0,15.9,21.1,17.2,21.15,17.3,21.2,13.6,20.299999237060547
2015-10-28,13.6,17.3,21.2,17.7,21.1,16.2,18.2,18.1,17.4,17.7,17.8,17.0,21.1,15.9,21.1,17.2,21.15,12.5,19.950000762939453
