仓库信息,平均温度,粮情时间
11仓,4.808308124542236,2015-01-18
11仓,4.8152031898498535,2015-01-19
11仓,4.614969730377197,2015-01-20
11仓,4.2566118240356445,2015-01-21
11仓,4.252603054046631,2015-01-22
11仓,4.136496067047119,2015-01-23
11仓,3.761842727661133,2015-03-01
11仓,3.74981689453125,2015-03-02
11仓,3.755314588546753,2015-03-03
11仓,3.8057384490966797,2015-03-04
11仓,3.8210408687591553,2015-03-05
11仓,3.8308048248291016,2015-03-06
11仓,3.8254659175872803,2015-03-07
11仓,3.8471057415008545,2015-03-08
11仓,3.8644962310791016,2015-03-09
11仓,3.8873417377471924,2015-03-10
11仓,3.9055557250976562,2015-03-11
11仓,3.932368516921997,2015-03-12
11仓,3.9366683959960938,2015-03-13
11仓,3.9643630981445312,2015-03-14
11仓,4.045475959777832,2015-03-16
11仓,4.0792999267578125,2015-03-17
11仓,4.1514716148376465,2015-03-18
11仓,4.187957286834717,2015-03-19
11仓,4.220160007476807,2015-03-20
11仓,4.266425132751465,2015-03-21
11仓,4.315693378448486,2015-03-22
11仓,4.369303226470947,2015-03-23
11仓,4.412533283233643,2015-03-24
11仓,4.428426265716553,2015-03-25
11仓,4.457435607910156,2015-03-26
11仓,4.507626056671143,2015-03-27
11仓,4.535487651824951,2015-03-29
11仓,4.577993869781494,2015-03-30
11仓,4.643064022064209,2015-03-31
11仓,4.762391567230225,2015-04-01
11仓,4.841508388519287,2015-04-02
11仓,4.878992080688477,2015-04-03
11仓,4.84644079208374,2015-04-04
11仓,4.8551812171936035,2015-04-06
11仓,4.863880634307861,2015-04-07
11仓,4.869019985198975,2015-04-08
11仓,4.956212520599365,2015-04-09
11仓,4.967722415924072,2015-04-10
11仓,5.006037712097168,2015-04-11
11仓,5.032825946807861,2015-04-12
11仓,5.082784175872803,2015-04-13
11仓,5.132834434509277,2015-04-14
11仓,5.141733169555664,2015-04-15
11仓,5.122505187988281,2015-04-16
11仓,5.177728176116943,2015-04-17
11仓,5.302062034606934,2015-04-18
11仓,5.418994903564453,2015-04-20
11仓,5.377994060516357,2015-04-21
11仓,5.401779651641846,2015-04-22
11仓,5.4309210777282715,2015-04-23
11仓,5.498203277587891,2015-04-24
11仓,5.590543746948242,2015-04-25
11仓,5.645841598510742,2015-04-26
11仓,5.738040447235107,2015-04-27
11仓,5.901073455810547,2015-04-28
11仓,5.852735996246338,2015-04-29
11仓,5.916965961456299,2015-04-30
11仓,5.950249195098877,2015-05-01
11仓,6.094934940338135,2015-05-04
11仓,6.137790679931641,2015-05-05
11仓,6.200132846832275,2015-05-06
11仓,6.3759894371032715,2015-05-07
11仓,6.2997918128967285,2015-05-08
11仓,6.362308502197266,2015-05-09
11仓,6.415651798248291,2015-05-10
11仓,6.596149444580078,2015-05-11
11仓,6.4722137451171875,2015-05-12
11仓,6.50459098815918,2015-05-13
11仓,6.593571186065674,2015-05-14
11仓,6.827794551849365,2015-05-15
11仓,6.7352213859558105,2015-05-16
11仓,6.76881217956543,2015-05-17
11仓,6.827752590179443,2015-05-18
11仓,7.054964542388916,2015-05-19
11仓,7.117364883422852,2015-05-20
11仓,6.992198944091797,2015-05-21
11仓,7.222546100616455,2015-05-22
11仓,7.264969348907471,2015-05-23
11仓,7.325340747833252,2015-05-24
11仓,7.3813958168029785,2015-05-25
11仓,7.435487270355225,2015-05-26
11仓,7.5037841796875,2015-05-27
11仓,7.402985095977783,2015-05-29
11仓,7.43626070022583,2015-05-30
11仓,7.462600231170654,2015-05-31
11仓,7.527994155883789,2015-06-01
11仓,7.785104751586914,2015-06-02
11仓,7.873119831085205,2015-06-03
11仓,7.927095890045166,2015-06-04
11仓,7.989654064178467,2015-06-05
11仓,8.0590238571167,2015-06-06
11仓,8.177220344543457,2015-06-07
11仓,8.035420417785645,2015-06-08
11仓,8.1249418258667,2015-06-09
11仓,8.908232688903809,2015-06-15
11仓,9.006220817565918,2015-06-16
11仓,9.0629243850708,2015-06-17
11仓,9.109355926513672,2015-06-18
11仓,9.144950866699219,2015-06-19
11仓,9.23392391204834,2015-06-20
11仓,9.308732032775879,2015-06-21
11仓,9.117815017700195,2015-06-22
11仓,9.200915336608887,2015-06-23
11仓,9.279257774353027,2015-06-24
11仓,9.31806468963623,2015-06-25
11仓,9.371016502380371,2015-06-26
11仓,9.835243225097656,2015-06-28
11仓,9.880728721618652,2015-06-29
11仓,9.487674713134766,2015-07-03
11仓,9.594810485839844,2015-07-04
11仓,9.674846649169922,2015-07-05
11仓,9.751729011535645,2015-07-06
11仓,10.06821346282959,2015-07-07
11仓,10.114055633544922,2015-07-08
11仓,10.175158500671387,2015-07-09
11仓,10.237208366394043,2015-07-10
11仓,10.285711288452148,2015-07-11
11仓,10.387965202331543,2015-07-12
11仓,10.435578346252441,2015-07-13
11仓,10.565468788146973,2015-07-14
11仓,10.656279563903809,2015-07-15
11仓,10.607518196105957,2015-07-16
11仓,10.673727989196777,2015-07-17
11仓,10.70350170135498,2015-07-18
11仓,10.747828483581543,2015-07-19
11仓,10.792737007141113,2015-07-20
11仓,10.834864616394043,2015-07-21
11仓,11.124241828918457,2015-07-22
11仓,10.936741828918457,2015-07-23
11仓,11.040087699890137,2015-07-24
11仓,11.113789558410645,2015-07-25
11仓,11.158757209777832,2015-07-26
11仓,11.272296905517578,2015-07-27
11仓,11.330098152160645,2015-07-28
11仓,11.408973693847656,2015-07-29
11仓,11.585437774658203,2015-07-30
11仓,11.620010375976562,2015-07-31
11仓,11.694769859313965,2015-08-01
11仓,11.773994445800781,2015-08-02
11仓,11.891616821289062,2015-08-03
11仓,11.984480857849121,2015-08-04
11仓,12.075897216796875,2015-08-05
11仓,12.112366676330566,2015-08-06
11仓,12.019859313964844,2015-08-07
11仓,11.929905891418457,2015-08-08
11仓,12.05164623260498,2015-08-09
11仓,12.144794464111328,2015-08-10
11仓,12.044120788574219,2015-08-11
11仓,11.936747550964355,2015-08-12
11仓,11.813397407531738,2015-08-13
11仓,11.808501243591309,2015-08-14
