仓库信息,平均温度,粮情时间
11仓,5.800000190734863,2015-01-18
11仓,4.099999904632568,2015-01-19
11仓,3.700000047683716,2015-01-20
11仓,3.4000000953674316,2015-01-21
11仓,3.4000000953674316,2015-01-22
11仓,4.0,2015-01-23
11仓,4.149999618530273,2015-03-01
11仓,4.149999618530273,2015-03-02
11仓,4.149999618530273,2015-03-03
11仓,4.149999618530273,2015-03-04
11仓,4.149999618530273,2015-03-05
11仓,4.149999618530273,2015-03-06
11仓,4.149999618530273,2015-03-07
11仓,4.149999618530273,2015-03-08
11仓,4.149999618530273,2015-03-09
11仓,2.5,2015-03-10
11仓,2.5,2015-03-11
11仓,2.549999952316284,2015-03-12
11仓,2.5,2015-03-13
11仓,2.5,2015-03-14
11仓,2.549999952316284,2015-03-16
11仓,2.5,2015-03-17
11仓,4.149999618530273,2015-03-18
11仓,4.149999618530273,2015-03-19
11仓,4.149999618530273,2015-03-20
11仓,4.149999618530273,2015-03-21
11仓,4.149999618530273,2015-03-22
11仓,4.149999618530273,2015-03-23
11仓,4.149999618530273,2015-03-24
11仓,4.149999618530273,2015-03-25
11仓,4.149999618530273,2015-03-26
11仓,4.149999618530273,2015-03-27
11仓,2.5999999046325684,2015-03-29
11仓,2.5999999046325684,2015-03-30
11仓,2.5999999046325684,2015-03-31
11仓,4.149999618530273,2015-04-01
11仓,4.149999618530273,2015-04-02
11仓,4.149999618530273,2015-04-03
11仓,2.6999998092651367,2015-04-04
11仓,2.6999998092651367,2015-04-06
11仓,2.6999998092651367,2015-04-07
11仓,2.6999998092651367,2015-04-08
11仓,4.149999618530273,2015-04-09
11仓,4.149999618530273,2015-04-10
11仓,4.149999618530273,2015-04-11
11仓,4.149999618530273,2015-04-12
11仓,4.149999618530273,2015-04-13
11仓,4.149999618530273,2015-04-14
11仓,4.149999618530273,2015-04-15
11仓,2.5999999046325684,2015-04-16
11仓,2.6999998092651367,2015-04-17
11仓,4.149999618530273,2015-04-18
11仓,4.149999618530273,2015-04-20
11仓,2.799999952316284,2015-04-21
11仓,2.799999952316284,2015-04-22
11仓,2.799999952316284,2015-04-23
11仓,2.799999952316284,2015-04-24
11仓,2.799999952316284,2015-04-25
11仓,2.8499999046325684,2015-04-26
11仓,2.8499999046325684,2015-04-27
11仓,4.300000190734863,2015-04-28
11仓,2.8499999046325684,2015-04-29
11仓,2.8499999046325684,2015-04-30
11仓,2.8499999046325684,2015-05-01
11仓,2.8499999046325684,2015-05-04
11仓,2.8499999046325684,2015-05-05
11仓,2.8499999046325684,2015-05-06
11仓,4.300000190734863,2015-05-07
11仓,2.8499999046325684,2015-05-08
11仓,2.9000000953674316,2015-05-09
11仓,2.950000047683716,2015-05-10
11仓,4.349999904632568,2015-05-11
11仓,2.9000000953674316,2015-05-12
11仓,2.950000047683716,2015-05-13
11仓,2.950000047683716,2015-05-14
11仓,4.349999904632568,2015-05-15
11仓,2.950000047683716,2015-05-16
11仓,2.950000047683716,2015-05-17
11仓,2.950000047683716,2015-05-18
11仓,4.449999809265137,2015-05-19
11仓,4.449999809265137,2015-05-20
11仓,2.950000047683716,2015-05-21
11仓,4.449999809265137,2015-05-22
11仓,4.5,2015-05-23
11仓,4.449999809265137,2015-05-24
11仓,4.449999809265137,2015-05-25
11仓,4.449999809265137,2015-05-26
11仓,4.449999809265137,2015-05-27
11仓,3.049999952316284,2015-05-29
11仓,3.049999952316284,2015-05-30
11仓,3.0999999046325684,2015-05-31
11仓,3.0999999046325684,2015-06-01
11仓,4.550000190734863,2015-06-02
11仓,4.5,2015-06-03
11仓,4.550000190734863,2015-06-04
11仓,4.550000190734863,2015-06-05
11仓,4.550000190734863,2015-06-06
11仓,4.550000190734863,2015-06-07
11仓,3.1500000953674316,2015-06-08
11仓,3.200000047683716,2015-06-09
11仓,4.650000095367432,2015-06-15
11仓,4.699999809265137,2015-06-16
11仓,4.699999809265137,2015-06-17
11仓,4.699999809265137,2015-06-18
11仓,4.699999809265137,2015-06-19
11仓,4.699999809265137,2015-06-20
11仓,4.75,2015-06-21
11仓,4.75,2015-06-22
11仓,4.75,2015-06-23
11仓,4.850000381469727,2015-06-24
11仓,4.850000381469727,2015-06-25
11仓,4.850000381469727,2015-06-26
11仓,4.900000095367432,2015-06-28
11仓,4.900000095367432,2015-06-29
11仓,3.75,2015-07-03
11仓,3.9000000953674316,2015-07-04
11仓,3.9000000953674316,2015-07-05
11仓,3.799999952316284,2015-07-06
11仓,5.050000190734863,2015-07-07
11仓,5.099999904632568,2015-07-08
11仓,5.099999904632568,2015-07-09
11仓,5.199999809265137,2015-07-10
11仓,5.199999809265137,2015-07-11
11仓,5.25,2015-07-12
11仓,5.300000190734863,2015-07-13
11仓,5.300000190734863,2015-07-14
11仓,5.300000190734863,2015-07-15
11仓,5.349999904632568,2015-07-16
11仓,5.399999618530273,2015-07-17
11仓,5.399999618530273,2015-07-18
11仓,5.399999618530273,2015-07-19
11仓,5.5,2015-07-20
11仓,5.650000095367432,2015-07-21
11仓,5.650000095367432,2015-07-22
11仓,5.650000095367432,2015-07-23
11仓,5.699999809265137,2015-07-24
11仓,5.75,2015-07-25
11仓,5.75,2015-07-26
11仓,5.800000190734863,2015-07-27
11仓,5.849999904632568,2015-07-28
11仓,5.899999618530273,2015-07-29
11仓,6.100000381469727,2015-07-30
11仓,6.150000095367432,2015-07-31
11仓,6.150000095367432,2015-08-01
11仓,6.199999809265137,2015-08-02
11仓,6.199999809265137,2015-08-03
11仓,6.350000381469727,2015-08-04
11仓,6.350000381469727,2015-08-05
11仓,6.400000095367432,2015-08-06
11仓,6.5,2015-08-07
11仓,6.5,2015-08-08
11仓,6.599999904632568,2015-08-09
11仓,6.599999904632568,2015-08-10
11仓,6.649999618530273,2015-08-11
11仓,6.699999809265137,2015-08-12
11仓,6.849999904632568,2015-08-13
11仓,7.0,2015-08-14
11仓,7.150000095367432,2015-08-15
11仓,7.050000190734863,2015-08-16
11仓,7.25,2015-08-17
11仓,7.25,2015-08-18
11仓,7.350000381469727,2015-08-19
11仓,7.300000190734863,2015-08-20
11仓,7.350000381469727,2015-08-21
11仓,7.300000190734863,2015-08-22
11仓,7.300000190734863,2015-08-23
11仓,7.400000095367432,2015-08-24
11仓,7.449999809265137,2015-08-25
11仓,7.5,2015-08-26
11仓,7.600000381469727,2015-08-27
11仓,7.799999713897705,2015-08-28
11仓,7.899999618530273,2015-08-29
11仓,7.800000190734863,2015-08-30
11仓,8.0,2015-08-31
11仓,13.219206809997559,2015-09-01
11仓,8.5,2015-09-02
11仓,8.399999618530273,2015-09-03
11仓,8.25,2015-09-04
11仓,8.300000190734863,2015-09-05
11仓,8.350000381469727,2015-09-06
