仓库信息,平均温度,粮情时间
10仓,4.443055629730225,2015-01-18
10仓,4.612499713897705,2015-01-19
10仓,4.541666507720947,2015-01-20
10仓,4.60972261428833,2015-01-21
10仓,4.661111354827881,2015-01-22
10仓,4.713888645172119,2015-01-23
10仓,6.266666412353516,2015-03-01
10仓,6.284721851348877,2015-03-02
10仓,6.330555438995361,2015-03-03
10仓,6.375,2015-03-04
10仓,6.39722204208374,2015-03-05
10仓,6.419444561004639,2015-03-06
10仓,6.4499993324279785,2015-03-07
10仓,6.483333587646484,2015-03-08
10仓,6.524999618530273,2015-03-09
10仓,6.45972204208374,2015-03-10
10仓,6.473611354827881,2015-03-11
10仓,6.497222423553467,2015-03-12
10仓,6.5291666984558105,2015-03-13
10仓,6.605555057525635,2015-03-14
10仓,6.68055534362793,2015-03-16
10仓,6.727777481079102,2015-03-17
10仓,6.86805534362793,2015-03-18
10仓,6.916666507720947,2015-03-19
10仓,6.9472222328186035,2015-03-20
10仓,6.995833873748779,2015-03-21
10仓,7.051389217376709,2015-03-22
10仓,7.115278244018555,2015-03-23
10仓,7.159721851348877,2015-03-24
10仓,7.173610687255859,2015-03-25
10仓,7.2208333015441895,2015-03-26
10仓,7.244443893432617,2015-03-27
10仓,7.262500762939453,2015-03-29
10仓,7.3222222328186035,2015-03-30
10仓,7.368056774139404,2015-03-31
10仓,7.516666412353516,2015-04-01
10仓,7.56944465637207,2015-04-02
10仓,7.602777481079102,2015-04-03
10仓,7.543055057525635,2015-04-04
10仓,7.573611736297607,2015-04-06
10仓,7.609722137451172,2015-04-07
10仓,10.88611125946045,2015-04-08
10仓,10.522222518920898,2015-04-09
10仓,10.574999809265137,2015-04-10
10仓,14.76805591583252,2015-04-11
10仓,12.927779197692871,2015-04-12
10仓,12.89444637298584,2015-04-13
10仓,11.990277290344238,2015-04-14
10仓,11.88611125946045,2015-04-15
10仓,13.831944465637207,2015-04-16
10仓,14.204166412353516,2015-04-17
10仓,14.922221183776855,2015-04-18
10仓,15.129165649414062,2015-04-20
10仓,14.195832252502441,2015-04-21
10仓,14.934721946716309,2015-04-22
10仓,16.8972225189209,2015-04-23
10仓,17.36111068725586,2015-04-24
10仓,17.9597225189209,2015-04-25
10仓,19.02638816833496,2015-04-26
10仓,18.9597225189209,2015-04-27
10仓,19.241666793823242,2015-04-28
10仓,19.08888816833496,2015-04-29
10仓,18.80555534362793,2015-04-30
10仓,18.884721755981445,2015-05-01
10仓,18.538888931274414,2015-05-04
10仓,18.373611450195312,2015-05-05
10仓,18.38194465637207,2015-05-06
10仓,18.59027862548828,2015-05-07
10仓,19.012500762939453,2015-05-08
10仓,19.094446182250977,2015-05-09
10仓,18.91666603088379,2015-05-10
10仓,18.893056869506836,2015-05-11
10仓,18.265275955200195,2015-05-12
10仓,18.238889694213867,2015-05-13
10仓,18.984722137451172,2015-05-14
10仓,20.081945419311523,2015-05-15
10仓,20.00694465637207,2015-05-16
10仓,19.922224044799805,2015-05-17
10仓,19.912500381469727,2015-05-18
10仓,20.06944465637207,2015-05-19
10仓,20.536109924316406,2015-05-20
10仓,20.68055534362793,2015-05-21
10仓,20.68610954284668,2015-05-22
10仓,20.538888931274414,2015-05-23
10仓,20.538888931274414,2015-05-24
10仓,20.716665267944336,2015-05-25
10仓,21.004167556762695,2015-05-26
10仓,21.106943130493164,2015-05-27
10仓,20.119443893432617,2015-05-29
10仓,20.00694465637207,2015-05-30
10仓,20.07777976989746,2015-05-31
10仓,20.38194465637207,2015-06-01
10仓,21.019445419311523,2015-06-02
10仓,21.11111068725586,2015-06-03
10仓,21.03611183166504,2015-06-04
10仓,24.633333206176758,2015-06-05
10仓,28.02638816833496,2015-06-06
10仓,26.741668701171875,2015-06-07
10仓,27.1472225189209,2015-06-08
10仓,26.02916717529297,2015-06-09
10仓,28.697219848632812,2015-06-15
10仓,28.725000381469727,2015-06-16
10仓,33.402496337890625,2015-06-17
10仓,28.287500381469727,2015-06-18
10仓,26.912500381469727,2015-06-19
10仓,28.34722137451172,2015-06-20
10仓,26.724998474121094,2015-06-21
10仓,26.754165649414062,2015-06-22
10仓,27.744443893432617,2015-06-23
10仓,27.72361183166504,2015-06-24
10仓,27.654165267944336,2015-06-25
10仓,27.598609924316406,2015-06-26
10仓,27.554166793823242,2015-06-27
10仓,27.523611068725586,2015-06-28
10仓,27.219444274902344,2015-06-29
10仓,28.422224044799805,2015-07-03
10仓,28.045835494995117,2015-07-04
10仓,27.19444465637207,2015-07-05
10仓,26.46527862548828,2015-07-06
10仓,26.287498474121094,2015-07-07
10仓,26.25555419921875,2015-07-08
10仓,26.125322341918945,2015-07-09
10仓,26.126388549804688,2015-07-10
10仓,26.126388549804688,2015-07-11
10仓,26.119443893432617,2015-07-12
10仓,26.126388549804688,2015-07-13
10仓,26.1472225189209,2015-07-14
10仓,26.15972328186035,2015-07-15
10仓,26.169443130493164,2015-07-16
10仓,26.16388702392578,2015-07-17
10仓,26.138891220092773,2015-07-18
10仓,26.15350914001465,2015-07-19
10仓,26.129167556762695,2015-07-20
10仓,26.11250114440918,2015-07-21
10仓,26.230554580688477,2015-07-22
10仓,26.17500114440918,2015-07-23
10仓,26.14027976989746,2015-07-24
10仓,26.101388931274414,2015-07-25
10仓,26.163888931274414,2015-07-26
10仓,26.088722229003906,2015-07-27
10仓,25.71527862548828,2015-07-28
10仓,26.547224044799805,2015-07-29
10仓,26.59722328186035,2015-07-30
10仓,26.344444274902344,2015-07-31
10仓,26.90416717529297,2015-08-01
10仓,26.105554580688477,2015-08-02
10仓,26.10694694519043,2015-08-03
10仓,26.11805534362793,2015-08-04
10仓,26.126388549804688,2015-08-05
10仓,26.125001907348633,2015-08-06
10仓,26.120834350585938,2015-08-07
10仓,26.1138858795166,2015-08-08
10仓,26.10277557373047,2015-08-09
10仓,26.087499618530273,2015-08-10
10仓,26.080556869506836,2015-08-11
10仓,26.05555534362793,2015-08-12
10仓,26.0402774810791,2015-08-13
10仓,26.002777099609375,2015-08-14
10仓,25.991666793823242,2015-08-15
10仓,25.986112594604492,2015-08-16
10仓,25.9777774810791,2015-08-17
10仓,25.9597225189209,2015-08-18
10仓,25.9375,2015-08-19
10仓,25.918052673339844,2015-08-20
10仓,25.8972225189209,2015-08-21
10仓,25.876388549804688,2015-08-22
10仓,25.86805534362793,2015-08-23
